,Unnamed: 0,links,rest_name,rest_location,rest_rating_aggr,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat,post1,post2,area,rest1,rest2
292,695,https://www.tripadvisor.dk/Restaurant_Review-g189541-d942117-Reviews-Sachi_Sushi_Borgergade-Copenhagen_Zealand.html,Sachi Sushi - Borgergade,"Borgergde 16, København 1300 Danmark",4.5,Japansk,Fisk og skaldyr,Sushi,41.0,2.5,"Borgergde 16, København 1300",1300.0,København K,Japansk,Japansk
293,147,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2734431-Reviews-Black_Swan-Copenhagen_Zealand.html,Black Swan,"Borgergade 93, København 1300 Danmark",4.5,Pub],,,117.0,2.5,"Borgergade 93, København 1300",1300.0,København K,Pub,Bar
294,1340,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6825604-Reviews-Taste_of_Thai-Copenhagen_Zealand.html,Taste of Thai,"Borgergade 18, København 1300 Danmark",4.0,Asiatisk,Thai,Vegetarvenlig,41.0,1.0,"Borgergade 18, København 1300",1300.0,København K,Asiatisk,Asiatisk
295,121,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1107884-Reviews-Restaurant_Koefoed-Copenhagen_Zealand.html,Restaurant Koefoed,"Landgreven 3, København 1301 Danmark",4.5,Europæisk,Skandinavisk,Dansk,697.0,4.0,"Landgreven 3, København 1301",1301.0,København K,Europæisk,Europæisk
296,822,https://www.tripadvisor.dk/Restaurant_Review-g189541-d940425-Reviews-Royal_Garden-Copenhagen_Zealand.html,Royal Garden,"Dronningens Tvaergade 30, København 1302 Danmark",4.0,Kinesisk,Asiatisk,Kantonesisk,145.0,2.5,"Dronningens Tvaergade 30, København 1302",1302.0,København K,Kinesisk,Kinesisk
297,103,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694985-Reviews-AOC-Copenhagen_Zealand.html,AOC,"Dronningens Tværgade 2, København 1302 Danmark",4.5,Europæisk,Skandinavisk,Dansk,334.0,4.0,"Dronningens Tværgade 2, København 1302",1302.0,København K,Europæisk,Europæisk
298,1406,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8745681-Reviews-Lagano-Copenhagen_Zealand.html,Lagano,"Dronningens Tvaergade 22, København 1302 Danmark",4.0,Italiensk,Pizza],,17.0,1.0,"Dronningens Tvaergade 22, København 1302",1302.0,København K,Italiensk,Italiensk
299,937,https://www.tripadvisor.dk/Restaurant_Review-g189541-d13975829-Reviews-Bazaar-Copenhagen_Zealand.html,Bazaar,"Dronningens Tværgade 21, København 1302 Danmark",3.5,Mellemøstlig,Vegetarvenlig,Veganske retter,93.0,2.5,"Dronningens Tværgade 21, København 1302",1302.0,København K,Mellemøstlig,Mellemøstlig
300,19,https://www.tripadvisor.dk/Restaurant_Review-g189541-d13961672-Reviews-Punk_Royale-Copenhagen_Zealand.html,Punk Royale,"Dronningens Tværgade 10, København 1302 Danmark",5.0,Europæisk],,,120.0,4.0,"Dronningens Tværgade 10, København 1302",1302.0,København K,Europæisk,Europæisk
301,43,https://www.tripadvisor.dk/Restaurant_Review-g189541-d14012376-Reviews-Basso_Kobenhavn-Copenhagen_Zealand.html,Basso København,"Dronningens Tvaergade 22, København 1302 Danmark",4.5,Italiensk,Europæisk,Vegetarvenlig,462.0,2.5,"Dronningens Tvaergade 22, København 1302",1302.0,København K,Italiensk,Italiensk
302,1046,https://www.tripadvisor.dk/Restaurant_Review-g189541-d14141418-Reviews-Glod-Copenhagen_Zealand.html,Glød,"Adelgade 12, København 1304 Danmark",4.5,Europæisk,Dansk],,13.0,4.0,"Adelgade 12, København 1304",1304.0,København K,Europæisk,Europæisk
303,264,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8491164-Reviews-Big_Apple-Copenhagen_Zealand.html,Big Apple,"Kronprinsessegade 2, København 1306 Danmark",4.5,Café,Europæisk,Delikatesseforretning,148.0,1.0,"Kronprinsessegade 2, København 1306",1306.0,København K,Café,Café
304,14,https://www.tripadvisor.dk/Restaurant_Review-g189541-d811205-Reviews-Kokkeriet-Copenhagen_Zealand.html,Kokkeriet,"Kronprinsessegade 64, København 1306 Danmark",4.5,Europæisk,Skandinavisk,Dansk,933.0,4.0,"Kronprinsessegade 64, København 1306",1306.0,København K,Europæisk,Europæisk
305,456,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6407035-Reviews-Ristorante_Cafe_Leo-Copenhagen_Zealand.html,Ristorante Cafe Leo,"Sølvgade 2 1307 K. Kobenhavn K, København 1307 Danmark",4.5,Italiensk,Pizza,Europæisk,118.0,2.5,"Sølvgade 2 1307 K. Kobenhavn K, København 1307",1307.0,København K,Italiensk,Italiensk
