,links,rest_name,rest_location,rest_rating,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat
327,https://www.tripadvisor.dk/Restaurant_Review-g189541-d789837-Reviews-Tony_s_Pizzeria-Copenhagen_Zealand.html,Tony's Pizzeria,"Istedgade 38, København Danmark",4.5,Italiensk,Pizza,Fastfood,75,1.0
328,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1014821-Reviews-Restaurant_Vita-Copenhagen_Zealand.html,Restaurant Vita,"Store Kongensgade 25, København Danmark",4.0,Europæisk,Skandinavisk,Dansk,554,2.5
329,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2389863-Reviews-Restaurant_Radio-Copenhagen_Zealand.html,Restaurant Radio,"Julius Thomsens Gade 12, København Danmark",4.5,Europæisk,Skandinavisk,Dansk,881,4.0
330,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12842090-Reviews-Perbacco-Copenhagen_Zealand.html,Perbacco,"Klareboderne 6, København 1115 Danmark",5.0,Italiensk,Pizza,Vinstue,113,2.5
331,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3163312-Reviews-Lundgren_V_I_P_Bagerstraede-Copenhagen_Zealand.html,Lundgren V.I.P. Bagerstraede,"Bagerstræde 6, København 1617 Danmark",4.0,Middelhavsområdet,Europæisk,Spansk,290,2.5
332,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1629046-Reviews-Scarpetta-Copenhagen_Zealand.html,Scarpetta,"Rantzausgade 7 2200 København N, København 2200 Danmark",4.0,Italiensk,Moderne,Vegetarvenlig,327,2.5
333,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694987-Reviews-Restaurant_Rebel-Copenhagen_Zealand.html,Restaurant Rebel,"Store Kongensgade 52, København 1264 Danmark",4.0,Europæisk,Skandinavisk,Dansk,181,4.0
334,https://www.tripadvisor.dk/Restaurant_Review-g189541-d5979355-Reviews-Floras_Cafe_Steakhouse-Copenhagen_Zealand.html,Floras Cafe & Steakhouse,"Vesterbrogade 16, København 1620 Danmark",4.0,Steakhouse,Europæisk,Dansk,546,2.5
335,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12454509-Reviews-Garden_Restaurant_Wine_bar-Copenhagen_Zealand.html,Garden Restaurant & Vinbar,"Gothersgade 87 Kælder, København 1123 Danmark",4.5,Europæisk,Skandinavisk,Dansk,189,2.5
336,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12179106-Reviews-Bastards-Copenhagen_Zealand.html,Bastards,"Axeltorv 6, København 1609 Danmark",4.5,Europæisk,Moderne,Skandinavisk,182,2.5
